InputID,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
4.20111E+11,0.000937036,0.006304389,0.002992066,0.01005742,0.009284032,0.019673742,0.008508244,0.019673742,0,0.953646027,0.961242712,1.071832972,0.97881746,0.006073254,0.106293783
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,1.036158357,0.959551211,1.114285763,0.924969472,0.006700656,0.105664334
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,0.933466955,0.927350034,0.790947483,NA,0.006700656,0.105664334
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,1.035207511,1.163502438,1.001840148,1.147599057,0.006700656,0.105664334
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,0.901507954,0.796070723,0.420185494,0.929601557,0.006700656,0.105664334
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,1.195372289,1.097533879,1.06234823,1.01037354,0.006700656,0.105664334
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,0.953646027,0.961242712,1.071832972,0.97881746,0.006700656,0.105664334
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,0.932833058,0.959300618,1.149310743,0.894571415,0.006700656,0.105664334
4.20111E+11,0.00072358,0.007474665,0.005669178,0.023287803,0.008774216,0.018960925,0.009817205,0.018960925,0,0.989302764,1.077549102,1.038236416,0.989818662,0.006700656,0.105664334
4.20114E+11,0.000276769,0.004228093,0.002881832,0.004453792,0.005742147,0.016394785,0.009599045,0.016394785,0,1.035207511,1.163502438,1.001840148,1.147599057,0.007478635,0.087160902
