fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean
"14","420116006000",1325A,33658.183923328,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"15","420116006000",1330A,51764.5987796427,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"16","420116006000",1327A,34446.518383149,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"17","420116006000",1331A,27575.5694400556,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"18","420116006000",1326A,41110.4621663218,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"19","420116006000",1329A,28230.7969967041,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"20","420116006000",1328A,40635.7141656316,3.69568985729219e-07,2.74536960827419e-07,1.68945822047643e-07,4.22364555119107e-08,2.11182277559553e-07,5.27955693898884e-08,8.97524679628102e-08,5.27955693898884e-08,0,,,,
"21","420116011000",1333A,73411.1775520727,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"22","420116011000",1334A,115172.258550807,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"23","420116011000",1332A,82086.9218514812,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"24","420116011000",1325A,74658.3251045383,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"25","420116011000",1330A,88832.7106590055,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"26","420116011000",1327A,72388.0515312544,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"27","420116011000",1331A,69431.2569033496,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"28","420116011000",1326A,78433.092829937,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"29","420116011000",1329A,70649.2503407885,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"30","420116011000",1328A,80300.3940925165,4.38758940442875e-07,2.68627922720128e-07,1.61176753632077e-07,4.47713204533546e-08,2.14902338176102e-07,2.68627922720128e-08,1.07451169088051e-07,2.68627922720128e-08,0,,,,
"31","420115005000",1333A,39292.4310099129,5.63404120259014e-07,2.18490866149228e-06,3.29797533810155e-07,4.12246917262693e-08,2.06123458631347e-07,7.55786014981605e-08,6.87078195437822e-08,7.55786014981605e-08,0,,,,
"32","420115005000",1334A,39578.5699314057,5.63404120259014e-07,2.18490866149228e-06,3.29797533810155e-07,4.12246917262693e-08,2.06123458631347e-07,7.55786014981605e-08,6.87078195437822e-08,7.55786014981605e-08,0,,,,
"33","420115005000",1332A,28700.2324173413,5.63404120259014e-07,2.18490866149228e-06,3.29797533810155e-07,4.12246917262693e-08,2.06123458631347e-07,7.55786014981605e-08,6.87078195437822e-08,7.55786014981605e-08,0,,,,
