fid,InputID,TargetID
"233","420114005000",1332A
"234","420114005000",1325A
"235","420114005000",1330A
"236","420114005000",1327A
"237","420114005000",1331A
"238","420114005000",1326A
"239","420114005000",1329A
"240","420114005000",1328A
"241","420114003000",1333A
"242","420114003000",1334A
"243","420114003000",1332A
"244","420114003000",1325A
"245","420114003000",1330A
"246","420114003000",1327A
"247","420114003000",1331A
"248","420114003000",1326A
"249","420114003000",1329A
"250","420114003000",1328A
"251","420112011000",1333A
"252","420112011000",1334A
"253","420112011000",1332A
"254","420112011000",1325A
"255","420112011000",1330A
"256","420112011000",1327A
"257","420112011000",1331A
"258","420112011000",1326A
"259","420112011000",1329A
"260","420112011000",1328A
"261","420112001000",1333A
"262","420112001000",1334A
"263","420112001000",1332A
"264","420112001000",1325A
"265","420112001000",1330A
"266","420112001000",1327A
"267","420112001000",1331A
"268","420112001000",1326A
"269","420112001000",1329A
"270","420112001000",1328A
"271","420112004000",1333A
"272","420112004000",1334A
"273","420112004000",1332A
"274","420112004000",1325A
"275","420112004000",1330A
"276","420112004000",1327A
"277","420112004000",1331A
"278","420112004000",1326A
"279","420112004000",1329A
"280","420112004000",1328A
"281","420112012000",1333A
"282","420112012000",1334A
"283","420112012000",1332A
"284","420112012000",1325A
"285","420112012000",1330A
"286","420112012000",1327A
"287","420112012000",1331A
"288","420112012000",1326A
"289","420112012000",1329A
"290","420112012000",1328A
"291","420112008000",1333A
"292","420112008000",1334A
"293","420112008000",1332A
"294","420112008000",1325A
"295","420112008000",1330A
"296","420112008000",1327A
"297","420112008000",1331A
"298","420112008000",1326A
"299","420112008000",1329A
"300","420112008000",1328A
"301","420112007000",1333A
"302","420112007000",1334A
"303","420112007000",1332A
"304","420112007000",1325A
"305","420112007000",1330A
"306","420112007000",1327A
"307","420112007000",1331A
"308","420112007000",1326A
"309","420112007000",1329A
"310","420112007000",1328A
"311","420112006000",1333A
"312","420112006000",1334A
"313","420112006000",1332A
"314","420112006000",1325A
"315","420112006000",1330A
"316","420112006000",1327A
"317","420112006000",1331A
"318","420112006000",1326A
"319","420112006000",1329A
"320","420112006000",1328A
"321","420105006000",1333A
"322","420105006000",1334A
"323","420105006000",1332A
"324","420105006000",1325A
"325","420105006000",1330A
"326","420105006000",1327A
"327","420105006000",1331A
"328","420105006000",1326A
"329","420105006000",1329A
"330","420105006000",1328A
"331","420105007000",1333A
"332","420105007000",1334A
"333","420105007000",1332A
"334","420105007000",1325A
"335","420105007000",1330A
"336","420105007000",1327A
"337","420105007000",1331A
"338","420105007000",1326A
"339","420105007000",1329A
"340","420105007000",1328A
"341","420105005000",1333A
"342","420105005000",1334A
"343","420105005000",1332A
"344","420105005000",1325A
"345","420105005000",1330A
"346","420105005000",1327A
"347","420105005000",1331A
"348","420105005000",1326A
"349","420105005000",1329A
"350","420105005000",1328A
"351","420105011000",1333A
"352","420105011000",1334A
"353","420105011000",1332A
"354","420105011000",1325A
"355","420105011000",1330A
"356","420105011000",1327A
"357","420105011000",1331A
"358","420105011000",1326A
"359","420105011000",1329A
"360","420105011000",1328A
"361","420104010000",1333A
"362","420104010000",1334A
"363","420104010000",1332A
"364","420104010000",1325A
"365","420104010000",1330A
"366","420104010000",1327A
"367","420104010000",1331A
"368","420104010000",1326A
"369","420104010000",1329A
"370","420104010000",1328A
"371","420104005000",1333A
"372","420104005000",1334A
