城市,监测点,监测点代码,日期,aqi,PM2_5,pm10,co,no2,o3,so2,空气质量等级,首要污染物
武汉,东湖高新,1332A,2017/2/14,84,51,117,0.77,72,46,19,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/2/15,127,79,186,0.98,88,44,23,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/2/16,133,93,172,0.95,65,55,16,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/17,240,192,275,1.95,69,18,20,重度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/18,152,116,153,1.19,55,21,14,中度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/19,203,157,196,1.21,56,25,13,重度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/20,154,118,179,1.5,51,18,16,中度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/21,53,31,88,0.51,29,28,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/2/22,75,55,71,0.73,27,41,7,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/23,87,64,85,0.89,51,40,15,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/24,90,65,109,0.79,68,31,12,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/25,102,70,129,0.67,71,40,13,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/26,110,80,150,0.81,85,35,12,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/2/27,141,89,216,1.09,91,41,32,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/2/28,116,80,164,0.93,87,45,27,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/1,110,59,158,0.56,62,46,10,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/2,95,31,140,0.49,51,49,15,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/3,89,44,128,0.64,58,48,32,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/4,131,83,178,1.02,83,9,21,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/5,105,78,103,1.05,60,17,11,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/6,297,248,281,2.04,69,32,17,重度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/7,213,173,219,1.51,79,53,15,重度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/8,127,92,158,0.83,70,67,21,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/9,118,84,168,0.94,70,68,26,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/10,85,62,90,0.74,46,62,14,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/11,104,76,134,0.93,66,22,13,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/12,83,60,94,0.79,56,35,7,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/13,52,40,40,1,35,54,6,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/14,79,49,84,0.85,55,41,15,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/15,80,56,91,0.67,64,42,13,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/16,89,66,95,0.82,61,46,10,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/17,100,75,101,0.94,87,23,9,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/18,142,108,112,0.88,69,17,7,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/19,109,82,0,1.01,61,17,7,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/20,68,47,49,0.73,41,41,4,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/21,68,48,65,0.94,56,41,10,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/22,56,40,60,0.8,54,42,4,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/23,72,52,62,0.91,51,29,6,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/24,50,34,56,0.71,43,32,4,优,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/25,81,46,95,0.65,49,39,8,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/26,110,35,170,0.63,58,50,10,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/27,97,41,143,0.67,40,74,12,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/28,87,44,123,0.71,30,72,14,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/29,93,62,134,0.83,28,64,11,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/3/30,71,51,82,0.91,24,53,5,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/3/31,54,31,59,0.71,22,91,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/1,88,61,115,0.9,50,64,8,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/4/2,82,45,112,0.83,43,82,13,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/3,91,52,132,0.97,46,71,31,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/4,93,59,135,1.06,59,33,21,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/5,95,71,101,1.28,61,7,5,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/4/6,56,37,63,1.36,44,15,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/7,62,40,73,1.19,39,35,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/8,57,37,71,1.56,34,49,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/9,25,11,20,1.21,30,58,6,优,
武汉,东湖高新,1332A,2017/4/10,25,10,23,0.81,32,50,5,优,
武汉,东湖高新,1332A,2017/4/11,54,33,60,0.94,42,52,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/12,70,39,90,0.83,55,56,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/13,84,43,118,1.11,58,69,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/14,84,40,117,1.07,37,80,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/15,101,49,151,1.44,44,73,15,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/16,85,46,123,1.34,37,37,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/17,57,16,72,0.61,14,80,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/18,120,31,170,0.84,32,75,9,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/19,140,53,207,1.12,50,47,9,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/20,80,27,109,0.57,32,56,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/21,94,27,138,0.5,48,27,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/22,103,31,155,0.55,57,52,9,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/23,96,40,142,0.72,56,67,11,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/24,104,49,157,0.7,42,90,19,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/25,87,51,124,0.81,56,53,12,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/26,75,44,99,1.07,27,77,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/27,80,31,106,1.17,55,101,19,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/28,93,38,121,0.62,62,99,11,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/29,97,36,124,0.63,50,99,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/4/30,118,52,170,0.78,57,98,17,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/1,83,51,113,0.85,48,66,11,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/2,74,45,95,0.82,38,92,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/3,48,27,59,0.89,26,69,10,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/4,42,14,47,0.74,28,68,6,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/5,98,31,142,0.98,52,72,12,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/6,473,163,739,1.32,55,64,25,严重污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/7,270,109,367,1,74,15,11,重度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/8,65,35,91,0.52,31,64,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/9,72,28,95,0.6,44,67,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/10,99,42,148,0.87,62,68,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/11,107,59,165,1.09,64,49,10,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/12,54,21,61,0.5,31,86,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/13,82,27,111,0.65,42,91,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/14,136,59,204,1.04,55,97,11,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/15,82,42,114,0.96,40,94,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/16,82,37,114,0.75,31,94,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/17,103,39,136,0.75,43,106,6,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/18,129,59,187,0.99,60,108,14,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/19,97,67,141,1,46,82,12,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/20,110,72,162,1,59,88,8,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/21,92,50,126,0.86,38,112,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/22,56,32,64,0.73,28,66,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/23,50,34,36,0.64,25,48,4,优,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/5/24,58,23,65,0.72,31,109,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/25,88,32,109,0.88,53,137,14,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/26,98,36,118,0.58,49,137,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/27,102,36,125,0.69,55,123,8,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/28,112,41,148,0.77,74,92,9,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/29,105,48,147,0.8,79,96,15,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/30,88,42,117,0.68,33,120,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/5/31,84,49,117,0.7,32,96,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/1,61,28,77,0.54,24,103,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/2,88,40,110,0.9,39,104,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/3,109,56,155,0.98,45,131,8,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/4,85,38,119,0.78,26,124,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/5,36,21,36,0.67,22,82,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/6,39,10,30,0.55,22,107,5,优,臭氧1小时
武汉,东湖高新,1332A,2017/6/7,68,22,57,0.65,39,117,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/8,68,33,77,0.93,36,100,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/9,47,20,54,0.85,36,49,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/10,43,23,45,0.79,26,56,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/11,35,15,32,0.73,23,85,3,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/12,37,19,38,0.9,41,43,3,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/13,29,14,28,0.61,24,64,3,优,
武汉,东湖高新,1332A,2017/6/14,61,34,74,0.73,52,52,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/15,47,28,50,0.71,37,74,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/16,68,36,78,0.92,51,94,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/17,83,43,89,0.8,46,116,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/18,61,35,69,0.78,26,119,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/19,56,32,62,0.8,27,83,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/20,82,46,88,0.9,32,113,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/21,62,39,71,0.72,24,109,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/22,53,20,50,0.69,24,100,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/23,46,25,56,0.81,29,55,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/24,52,26,57,1.01,37,64,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/25,63,36,74,0.9,47,75,3,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/26,48,26,51,0.76,29,90,3,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/27,55,21,43,0.65,20,125,5,良,臭氧1小时
武汉,东湖高新,1332A,2017/6/28,60,25,56,0.72,24,130,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/29,55,27,56,0.87,26,104,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/6/30,19,10,15,0.61,16,55,3,优,
武汉,东湖高新,1332A,2017/7/1,18,7,16,0.6,18,39,3,优,
武汉,东湖高新,1332A,2017/7/2,25,11,22,0.63,18,59,4,优,
武汉,东湖高新,1332A,2017/7/3,45,19,42,0.83,24,73,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/4,42,18,45,0.83,23,52,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/5,44,17,46,0.8,23,52,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/6,41,18,41,0.63,20,56,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/7,35,16,33,0.53,17,57,6,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/8,33,14,33,0.6,18,51,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/9,28,10,27,0.58,19,39,5,优,
武汉,东湖高新,1332A,2017/7/10,33,11,31,0.61,19,78,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/11,31,12,30,0.56,20,56,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/12,32,8,33,0.53,15,61,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/13,39,14,39,0.55,16,68,5,优,
武汉,东湖高新,1332A,2017/7/14,38,15,39,0.54,15,59,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/15,49,20,52,0.62,20,83,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/16,46,19,46,0.57,22,74,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/17,52,19,57,0.6,23,74,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/18,48,21,53,0.58,19,75,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/19,28,11,27,0.49,11,62,4,优,
武汉,东湖高新,1332A,2017/7/20,31,8,31,0.49,12,68,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/21,38,10,38,0.51,15,77,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/22,57,20,60,0.61,21,111,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/23,63,32,67,0.82,25,120,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/24,64,24,76,0.98,27,99,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/25,76,30,94,0.58,31,107,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/26,70,42,86,0.61,20,117,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/27,75,38,85,0.63,17,135,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/28,101,54,135,1.16,43,104,9,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/29,102,64,120,2.41,43,107,11,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/7/30,75,50,89,1.38,30,80,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/7/31,45,22,47,0.9,22,69,6,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/1,28,12,27,0.78,28,46,4,优,
武汉,东湖高新,1332A,2017/8/2,28,14,28,0.55,27,57,3,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/3,52,26,46,0.68,32,80,4,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/4,59,33,66,0.81,34,80,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/5,59,30,59,0.71,25,95,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/6,49,24,46,0.54,18,95,5,优,臭氧1小时
武汉,东湖高新,1332A,2017/8/7,51,22,54,0.55,23,84,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/8,46,17,52,0.76,35,55,7,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/9,49,21,44,0.68,25,91,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/10,43,16,38,0.54,17,101,6,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/11,60,23,72,0.75,35,61,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/12,17,9,16,0.45,16,41,6,优,
武汉,东湖高新,1332A,2017/8/13,25,10,25,0.51,27,40,5,优,
武汉,东湖高新,1332A,2017/8/14,45,24,46,0.81,36,62,7,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/15,60,37,68,0.84,54,70,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/16,63,39,75,0.9,46,65,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/17,36,13,35,0.62,26,39,10,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/18,47,19,50,0.64,30,49,9,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/19,49,25,53,0.51,22,64,6,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/20,58,25,62,0.73,37,69,5,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/21,57,28,64,0.65,31,76,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/22,64,30,69,0.63,29,84,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/23,60,25,62,0.54,20,115,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/24,60,23,76,0.68,32,63,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/25,54,24,56,1.21,43,54,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/26,51,25,54,0.77,22,85,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/27,58,33,64,0.67,16,106,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/28,54,21,64,0.57,19,70,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/29,57,20,50,1.03,18,106,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/8/30,30,7,30,0.71,18,46,5,优,
武汉,东湖高新,1332A,2017/8/31,42,16,45,0.7,24,33,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/1,50,23,58,0.98,44,18,6,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/2,49,27,52,0.66,37,22,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/3,37,21,41,1.01,41,23,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/4,38,16,39,0.65,42,43,3,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/5,52,23,59,1.18,53,20,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/6,33,17,31,0.71,34,44,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/7,60,21,56,0.7,49,88,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/8,95,52,140,1.17,92,9,6,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/9,82,55,106,1.01,27,137,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/10,49,33,61,0.81,29,54,6,优,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/9/11,41,14,41,0.65,33,75,5,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/12,57,26,63,0.7,43,67,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/13,74,31,84,0.61,52,99,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/14,82,35,101,0.68,53,108,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/15,85,31,96,0.7,59,100,13,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/16,85,37,100,0.68,55,104,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/17,93,41,108,0.87,59,118,14,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/18,104,67,134,1.26,62,92,17,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/9/19,77,56,70,1.02,42,70,6,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/9/20,40,23,41,0.53,39,58,4,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/21,55,29,62,0.75,54,31,8,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/22,68,44,79,0.89,63,55,7,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/23,51,31,50,0.83,50,46,6,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/9/24,58,34,70,0.97,39,67,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/25,75,50,97,1.15,52,60,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/26,64,36,78,1.83,47,56,13,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/27,26,13,26,0.91,29,55,6,优,
武汉,东湖高新,1332A,2017/9/28,29,10,27,0.71,24,74,5,优,
武汉,东湖高新,1332A,2017/9/29,39,18,39,0.58,40,39,7,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/9/30,49,28,55,0.91,39,29,9,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/1,61,38,70,1.05,37,59,10,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/2,24,9,23,0.7,22,44,5,优,
武汉,东湖高新,1332A,2017/10/3,19,8,17,0.58,27,37,5,优,
武汉,东湖高新,1332A,2017/10/4,21,6,20,0.62,25,29,6,优,
武汉,东湖高新,1332A,2017/10/5,24,12,23,0.8,35,14,5,优,
武汉,东湖高新,1332A,2017/10/6,45,27,49,0.89,46,17,9,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/7,54,29,62,0.84,43,35,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/8,88,54,112,1.13,73,68,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/9,96,65,128,1.22,80,65,13,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/10/10,64,37,68,1.34,40,28,11,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/10/11,28,7,28,1.04,35,20,8,优,
武汉,东湖高新,1332A,2017/10/12,23,9,19,1.05,44,22,7,优,
武汉,东湖高新,1332A,2017/10/13,40,18,41,1.01,45,23,11,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/14,49,25,52,1,48,22,13,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/15,43,18,43,1.28,46,40,17,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/16,27,15,26,0.98,37,45,8,优,
武汉,东湖高新,1332A,2017/10/17,41,21,41,1.09,48,36,11,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/18,44,24,46,0.77,41,28,7,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/19,39,20,39,0.65,40,46,6,优,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/20,70,43,87,0.93,67,39,11,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/21,67,39,84,1.01,69,49,14,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/22,89,64,116,1.08,93,55,14,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/10/23,168,127,152,1.75,79,52,18,中度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/10/24,111,73,113,0.88,67,54,12,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/10/25,73,38,97,0.74,73,53,15,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/26,84,47,121,0.85,92,41,9,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/27,118,83,177,1.31,105,50,15,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/28,110,79,143,1.59,96,56,19,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/10/29,101,62,127,1.35,64,55,21,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/30,73,25,96,0.81,69,39,15,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/10/31,98,53,141,0.95,82,41,18,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/11/1,108,73,155,1.18,94,49,17,轻度污染,颗粒物(PM10)
武汉,东湖高新,1332A,2017/11/2,115,86,153,1.14,95,61,12,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/3,185,143,188,1.5,88,64,18,中度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/4,127,91,99,1,54,71,13,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/5,70,37,91,0.73,50,66,19,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/11/6,100,65,140,1.28,84,43,20,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/7,144,107,190,1.33,105,36,16,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/8,202,159,221,1.52,103,52,18,重度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/9,143,105,152,1.24,73,89,19,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/10,124,88,144,1.36,73,33,22,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/11,79,33,108,0.87,47,33,18,良,颗粒物(PM10)
武汉,东湖高新,1332A,2017/11/12,88,65,98,1.42,65,8,14,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/13,96,72,88,1.1,59,9,7,良,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/14,113,85,115,1.26,70,8,10,轻度污染,细颗粒物(PM2.5)
武汉,东湖高新,1332A,2017/11/15,146,111,144,1.35,74,25,15,轻度污染,细颗粒物(PM2.5)
