wkt_geom,fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
"MultiPoint ((114.32742000253664116 30.99305871143272384),(114.35354139999999745 30.58268419999999921))",94,4.20116E+11,1325A,45565.15575,5.79E-07,4.70E-07,1.42E-07,1.69E-07,1.97E-07,5.46E-08,9.28E-08,5.46E-08,0,48.41369863,81.10958904,37.9260274,,2.35E-07,5.761
"MultiPoint ((114.32742000253664116 30.99305871143272384),(114.3843389999999971 30.51554900000000004))",93,4.20116E+11,1332A,53219.016,5.79E-07,4.70E-07,1.42E-07,1.69E-07,1.97E-07,5.46E-08,9.28E-08,5.46E-08,0,53.69041096,101.7643836,48.03835616,10.86027397,2.35E-07,5.761
"MultiPoint ((113.83930180000000121 30.32458189999999831),(114.32742000253664116 30.99305871143272384))",92,4.20116E+11,1334A,87640.20835,5.79E-07,4.70E-07,1.42E-07,1.69E-07,1.97E-07,5.46E-08,9.28E-08,5.46E-08,0,46.75616438,69.62739726,20.14794521,8.797260274,2.35E-07,5.761
"MultiPoint ((114.25444339566463725 31.27589290201206751),(114.38645699999999295 30.62975099999999884))",67,4.20116E+11,1331A,72738.94834,9.87E-08,5.81E-08,5.23E-08,2.56E-07,1.16E-07,4.65E-08,4.65E-08,4.65E-08,0,48.38082192,83.90410959,55.10958904,8.465753425,9.29E-08,2.161
"MultiPoint ((114.25444339566463725 31.27589290201206751),(114.29549799999999493 30.6063459999999985))",66,4.20116E+11,1327A,74335.23565,9.87E-08,5.81E-08,5.23E-08,2.56E-07,1.16E-07,4.65E-08,4.65E-08,4.65E-08,0,51.30958904,94.24657534,49.78356164,9.367123288,9.29E-08,2.161
"MultiPoint ((114.21022589999999752 30.46695070000000172),(114.25444339566463725 31.27589290201206751))",65,4.20116E+11,1330A,89784.84008,9.87E-08,5.81E-08,5.23E-08,2.56E-07,1.16E-07,4.65E-08,4.65E-08,4.65E-08,0,53.73972603,83.9260274,53.43013699,8.753424658,9.29E-08,2.161
"MultiPoint ((114.25444339566463725 31.27589290201206751),(114.35354139999999745 30.58268419999999921))",64,4.20116E+11,1325A,77436.22465,9.87E-08,5.81E-08,5.23E-08,2.56E-07,1.16E-07,4.65E-08,4.65E-08,4.65E-08,0,48.41369863,81.10958904,37.9260274,,9.29E-08,2.161
"MultiPoint ((114.13591800000000376 30.62591507000000135),(114.29080260164573701 30.79977176487599877))",71,4.20116E+11,1333A,24323.29764,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,54.12328767,89.73424658,46.28493151,8.276712329,9.47E-07,10.304
"MultiPoint ((114.25444339566463725 31.27589290201206751),(114.30494500000000357 30.53393900000000016))",70,4.20116E+11,1328A,82400.37822,9.87E-08,5.81E-08,5.23E-08,2.56E-07,1.16E-07,4.65E-08,4.65E-08,4.65E-08,0,48.89315068,85.85753425,55.48219178,11.33150685,9.29E-08,2.161
"MultiPoint ((114.25444339566463725 31.27589290201206751),(114.39685199999999554 30.61899500000000174))",69,4.20116E+11,1329A,74089.72164,9.87E-08,5.81E-08,5.23E-08,2.56E-07,1.16E-07,4.65E-08,4.65E-08,4.65E-08,0,61.99726027,95.99452055,50.93972603,9.561643836,9.29E-08,2.161
"MultiPoint ((114.25444339566463725 31.27589290201206751),(114.25827400000000011 30.55532499999999985))",68,4.20116E+11,1326A,79888.77714,9.87E-08,5.81E-08,5.23E-08,2.56E-07,1.16E-07,4.65E-08,4.65E-08,4.65E-08,0,49.46027397,84.0739726,51.39452055,9.263013699,9.29E-08,2.161
"MultiPoint ((114.21022589999999752 30.46695070000000172),(114.29080260164573701 30.79977176487599877))",75,4.20116E+11,1330A,37697.53114,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,53.73972603,83.9260274,53.43013699,8.753424658,9.47E-07,10.304
"MultiPoint ((114.29080260164573701 30.79977176487599877),(114.35354139999999745 30.58268419999999921))",74,4.20116E+11,1325A,24806.5367,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,48.41369863,81.10958904,37.9260274,,9.47E-07,10.304
"MultiPoint ((114.29080260164573701 30.79977176487599877),(114.3843389999999971 30.51554900000000004))",73,4.20116E+11,1332A,32760.43676,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,53.69041096,101.7643836,48.03835616,10.86027397,9.47E-07,10.304
"MultiPoint ((113.83930180000000121 30.32458189999999831),(114.29080260164573701 30.79977176487599877))",72,4.20116E+11,1334A,68201.79521,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,46.75616438,69.62739726,20.14794521,8.797260274,9.47E-07,10.304
"MultiPoint ((114.29080260164573701 30.79977176487599877),(114.39685199999999554 30.61899500000000174))",79,4.20116E+11,1329A,22469.3293,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,61.99726027,95.99452055,50.93972603,9.561643836,9.47E-07,10.304
"MultiPoint ((114.25827400000000011 30.55532499999999985),(114.29080260164573701 30.79977176487599877))",78,4.20116E+11,1326A,27278.99882,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,49.46027397,84.0739726,51.39452055,9.263013699,9.47E-07,10.304
"MultiPoint ((114.29080260164573701 30.79977176487599877),(114.38645699999999295 30.62975099999999884))",77,4.20116E+11,1331A,20958.20336,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,48.38082192,83.90410959,55.10958904,8.465753425,9.47E-07,10.304
"MultiPoint ((114.29080260164573701 30.79977176487599877),(114.29549799999999493 30.6063459999999985))",76,4.20116E+11,1327A,21448.74382,1.91E-06,3.03E-06,1.38E-06,3.19E-08,9.47E-07,1.81E-07,2.24E-07,1.81E-07,0,51.30958904,94.24657534,49.78356164,9.367123288,9.47E-07,10.304
