wkt_geom,fid,InputID,TargetID,Distance,Busstops_Count_Pointsdensity,Company_Count_Pointsdensity,Daily_Count_Pointsdensity,Green_Count_Densitypoints,Hospital_Count_Pointsdensity,Restuarant_Count_Pointsdensity,Sample_Count_Pointsdensity,Shops_Count_Pointsdensity,Subway_Count_Pointsdensity,Merged_pm25mean,Merged_pm10mean,Merged_no2mean,Merged_so2mean,Education_Count_Pointsdensity,Carroads_Roadensity
"MultiPoint ((114.28201743617051989 30.58374154011088208),(114.30494500000000357 30.53393900000000016))",460,4.20103E+11,1328A,5943.262031,0.000224128,0.000302876,0.000236243,2.42E-05,5.75E-05,4.85E-05,9.09E-06,4.85E-05,0,48.89315068,85.85753425,55.48219178,11.33150685,9.39E-05,136.364
"MultiPoint ((114.11883888619620109 30.7216375119709042),(114.13591800000000376 30.62591507000000135))",51,4.20112E+11,1333A,10737.62516,6.67E-07,1.73E-06,1.64E-07,1.29E-07,1.87E-07,8.19E-08,1.05E-07,8.19E-08,0,54.12328767,89.73424658,46.28493151,8.276712329,2.34E-07,6.883
"MultiPoint ((114.223367521210875 30.89758535948510598),(114.30494500000000357 30.53393900000000016))",50,4.20116E+11,1328A,41065.78079,2.82E-07,4.10E-07,2.92E-07,5.64E-08,2.41E-07,6.66E-08,1.08E-07,6.66E-08,0,48.89315068,85.85753425,55.48219178,11.33150685,2.36E-07,5.401
"MultiPoint ((114.223367521210875 30.89758535948510598),(114.39685199999999554 30.61899500000000174))",49,4.20116E+11,1329A,35069.09625,2.82E-07,4.10E-07,2.92E-07,5.64E-08,2.41E-07,6.66E-08,1.08E-07,6.66E-08,0,61.99726027,95.99452055,50.93972603,9.561643836,2.36E-07,5.401
"MultiPoint ((114.223367521210875 30.89758535948510598),(114.25827400000000011 30.55532499999999985))",48,4.20116E+11,1326A,38091.61256,2.82E-07,4.10E-07,2.92E-07,5.64E-08,2.41E-07,6.66E-08,1.08E-07,6.66E-08,0,49.46027397,84.0739726,51.39452055,9.263013699,2.36E-07,5.401
"MultiPoint ((114.11883888619620109 30.7216375119709042),(114.21022589999999752 30.46695070000000172))",55,4.20112E+11,1330A,29564.25805,6.67E-07,1.73E-06,1.64E-07,1.29E-07,1.87E-07,8.19E-08,1.05E-07,8.19E-08,0,53.73972603,83.9260274,53.43013699,8.753424658,2.34E-07,6.883
"MultiPoint ((114.11883888619620109 30.7216375119709042),(114.35354139999999745 30.58268419999999921))",54,4.20112E+11,1325A,27265.00574,6.67E-07,1.73E-06,1.64E-07,1.29E-07,1.87E-07,8.19E-08,1.05E-07,8.19E-08,0,48.41369863,81.10958904,37.9260274,,2.34E-07,6.883
"MultiPoint ((114.11883888619620109 30.7216375119709042),(114.3843389999999971 30.51554900000000004))",53,4.20112E+11,1332A,34206.08429,6.67E-07,1.73E-06,1.64E-07,1.29E-07,1.87E-07,8.19E-08,1.05E-07,8.19E-08,0,53.69041096,101.7643836,48.03835616,10.86027397,2.34E-07,6.883
"MultiPoint ((113.83930180000000121 30.32458189999999831),(114.11883888619620109 30.7216375119709042))",52,4.20112E+11,1334A,51549.76129,6.67E-07,1.73E-06,1.64E-07,1.29E-07,1.87E-07,8.19E-08,1.05E-07,8.19E-08,0,46.75616438,69.62739726,20.14794521,8.797260274,2.34E-07,6.883
"MultiPoint ((114.11883888619620109 30.7216375119709042),(114.39685199999999554 30.61899500000000174))",59,4.20112E+11,1329A,28970.72849,6.67E-07,1.73E-06,1.64E-07,1.29E-07,1.87E-07,8.19E-08,1.05E-07,8.19E-08,0,61.99726027,95.99452055,50.93972603,9.561643836,2.34E-07,6.883
